gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham
Igfbp7,6.4960073849054885,1.453065619190476,5.042941765715012,2.1604526465548797,0.008617842804245065
Ly6a,6.753810330231907,2.1834729887986026,4.570337341433305,1.6290765330438446,0.008332937326468465
Ctla2a,4.136150311670031,0.4779164653645989,3.658233846305432,3.1134555677678732,0.005249391108859434
Sparc,4.324855387320036,0.8311546388711569,3.493700748448879,2.379461666221246,0.02155544654867274
Fth1,3.664282556407898,1.3078993935164689,2.3563831628914294,1.4862784761600412,0.0020233969393476455
Ly6c1,5.853537965629281,3.7178939690655315,2.1356439965637493,0.6548231066411171,0.12342067655749786
Ifitm3,2.267543646451536,0.545412468262745,1.7221311781887911,2.0557087254951543,0.004426878537528906
Hsp90ab1,2.91125790962183,1.2625125049963353,1.6487454046254946,1.205344329339901,0.06869337475252067
Vim,1.8733828296350858,0.36595793996871523,1.5074248896663707,2.3558928229761467,0.0122636349356928
Calm1,3.666962178418069,2.1887615910906173,1.4782005873274517,0.7444703014500444,0.07841248556778119
Ybx1,1.8750880945444979,0.6639657513406672,1.2111223432038307,1.4977762422502225,0.02572855510148277
B2m,2.225297340600594,1.0358825450126317,1.1894147955879621,1.1031369448043864,0.021049036534496614
Tmem252,1.4715632763257926,0.29158157883902747,1.1799816974867652,2.3353741282362073,0.0009010958741853051
Eef1a1,1.7177936583627962,0.6177599622674385,1.1000336960953576,1.4754369782389405,0.022715015550901444
Tm4sf1,1.42194272626162,0.35531072093964505,1.0666320053219749,2.000707185258704,0.0037309255148624152
Mgp,1.5703906248193888,0.5050854592982496,1.0653051655211394,1.636522113136357,0.002116510226489134
Ly6e,2.4061691077031546,1.3522093418690442,1.0539597658341104,0.831419053336532,0.10869224183353453
Ftl1,1.4622487258905026,0.45093874215607377,1.0113099837344288,1.6971831505530133,0.011466901426878095
Hsp90b1,1.3354270010502947,0.4397273564899426,0.895699644560352,1.6026177210260346,0.05581463721332382
Egfl7,1.5133544501243035,0.6734146151834852,0.8399398349408183,1.1681818011539333,0.016950794131199612
Ppia,1.2322020292468407,0.3923354449671372,0.8398665842797035,1.651076725725373,0.0384699847194041
Fkbp1a,0.9775275157786228,0.14008967363190694,0.8374378421467159,2.8027778750466017,0.0014693566254318695
Pabpc1,1.1008907398946408,0.299822834687631,0.8010679052070098,1.8764856224058888,0.13908297775444975
Tpm3,1.2392106743704525,0.4915028407410611,0.7477078336293914,1.3341480453282102,0.017032884883442966
Anxa2,0.9521195688441273,0.22335169831551274,0.7287678705286146,2.0918205924361737,0.004560706129260641
Cd200,1.035134405188702,0.31788748437797926,0.7172469208107226,1.7032268373889126,0.0007027101698781296
Hspa5,0.9180309605448121,0.22069957122407058,0.6973313893207416,2.0564540171311827,0.01214424103366273
S100a11,0.8255150073191372,0.13777461843646746,0.6877403888826698,2.58297558720973,0.00684520303586225
Glul,1.1469875669401464,0.4628448203266123,0.6841427466135341,1.3092474117516137,0.03463216842274011
Edn1,0.9060979065075851,0.22477617826351934,0.6813217282440658,2.0111729728210572,0.0011768862485557906
H2-D1,1.3263892571391,0.6746471023711215,0.6517421547679786,0.9752982236098245,0.025642093745801592
Lrg1,0.7043010156002338,0.06571260586691996,0.6385884097333139,3.4219301978682672,0.00145347153754262
Ece1,0.9814732725308454,0.3708382103676442,0.6106350621632012,1.404156656540204,0.005822032505413418
Calr,0.8334570585861634,0.23769745140047327,0.5957596071856901,1.8099770973121216,0.05992095293083174
Itgb1,0.8766781807576912,0.29531384853647225,0.581364332221219,1.5697950899530877,0.016298288924924045
Gpx1,0.8823604831419963,0.3136016502535938,0.5687588328884026,1.4924320640467084,0.00614953674141703
Esam,0.978323070080109,0.41915841229990164,0.5591646577802074,1.2228134116436726,0.029183658752622174
Ecscr,0.6395744925625275,0.0835054846667775,0.55606900789575,2.9371545192474664,0.0001249452601529624
Tmsb10,0.991231905230622,0.4356980735329752,0.5555338316976468,1.1858920348398116,0.005458523773284085
Ubb,1.2879124296620756,0.7394235241632114,0.5484889054988642,0.8005608236847551,0.04346320113555533
Myl12a,1.0214121252382231,0.4770845323898447,0.5443275928483784,1.0982466606286034,0.010146656340744038
Hspa8,0.9755322426017141,0.4396801334991722,0.5358521091025419,1.1497334068923488,0.017574027295200058
Mt2,0.7021290517023852,0.16944956472052683,0.5326794869818583,2.0508738329416887,0.13067475101703274
Rack1,0.7535144823183588,0.22160595559581275,0.5319085267225461,1.7656339907820333,0.020701406102987308
Ndufa4,0.7800183602428674,0.25611748404589957,0.5239008761969679,1.6066985565580136,0.003173541259025297
Msn,0.7194411405265047,0.19591727084314328,0.5235238696833614,1.8766267202369311,0.011528899153762909
Prdx1,0.7546552838399607,0.24041878169987427,0.5142365021400864,1.65026409772429,0.012344328841835575
Tpm4,0.8586881814636399,0.36232617123260674,0.49636201023103316,1.244843016707126,0.003985615987027344
Ncl,0.6980632767875719,0.2067113508002071,0.49135192598736477,1.7557352933702615,0.03691290425985098
Arpc2,0.9155140848334723,0.42585894214195613,0.48965514269151617,1.1042046259451372,0.02051438877082239
Itm2b,1.3095360346300102,0.8232826731524608,0.4862533614775494,0.6695953398405828,0.0597064212691193
Gnas,1.2028287137593143,0.7170161777611184,0.48581253599819596,0.7463528252061827,0.2314476240105493
Tpt1,0.8771683482192992,0.3939360941080338,0.4832322541112654,1.1548901282544197,0.14528623205907154
Arpc1b,0.7469547294674168,0.26652676777686096,0.48042796169055585,1.4867368942435808,0.014588869818487966
Fxyd5,0.9202252189671761,0.4456959575452813,0.47452926142189483,1.0459254493726466,0.030092874809447254
Myl6,1.029494474027407,0.5562700785441475,0.47322439548325956,0.8880774829152429,0.058037403224376435
Atox1,1.0285193209241104,0.5568006973819771,0.47171862354213323,0.8853347838096707,0.02349546169219708
Atp5e,0.6523426972641261,0.18200219351547453,0.47034050374865155,1.841668505866673,0.001524256431951142
Cldn5,2.2773356460103518,1.8130871521462397,0.46424849386411204,0.32889850236168944,0.4816009644570961
Chchd2,0.849630173779083,0.38566754382176843,0.4639626299573146,1.1394752203487728,0.03300952740316736
Pdia3,0.6298029151441803,0.17544533531321801,0.45435757983096225,1.8438729126029094,0.01849459574429325
Cox6c,0.7900572511120999,0.33724498558455834,0.45281226552754156,1.2281577572089954,0.0032877587265848275
Cdc42,0.7321413560874065,0.28672516167598067,0.4454161944114258,1.3524506441032218,0.006836190157232105
Txn1,0.5990752442989541,0.15600147730170602,0.4430737669972481,1.9411706870691143,0.008161713634906965
Id3,1.4277921638704434,0.988151379366052,0.43964078450439137,0.5309815628193529,0.12529507029987783
Canx,0.6559538338376557,0.22142711842839016,0.4345267154092656,1.5667580437831585,0.023236171618748844
Ptma,1.055749210966086,0.6213042061443471,0.43444500482173887,0.7648944871127759,0.11490603284137366
Serbp1,0.754669792197048,0.3248553137521892,0.4298144784448588,1.2160456940954594,0.07770976982124336
Hnrnpa2b1,0.8596051051957987,0.43038408606137973,0.42922101913441896,0.9980476435751582,0.16979369557588483
Vwa1,0.7373507346010602,0.3090541036185826,0.42829663098247756,1.2544888945661945,0.027357962949195045
Col4a2,0.5024157151618512,0.07536717546696015,0.4270485396948911,2.7368570897352713,0.052474529082368215
Psma7,0.7408049579262682,0.3139405216606432,0.42686443626562504,1.2385998502491857,0.016137387352669817
Ifitm2,0.6217249420572613,0.196542674891236,0.42518226716602525,1.6614288417042606,0.009213633197904594
Cox4i1,0.8109497211221963,0.3931895606729947,0.4177601604492016,1.044385561839566,0.007009444342078413
Gnai2,0.7583502004942531,0.3413189998166901,0.41703120067756294,1.151741178193167,0.027217656636750052
Col4a1,0.5130856260369131,0.09888866237248285,0.41419696366443026,2.3753108021762555,0.03560053376408184
Mt1,0.7936596178910473,0.3903204491289209,0.40333916876212644,1.023859474898206,0.20086615750403464
1810037I17Rik,0.6874268940553866,0.28415499813964523,0.40327189591574136,1.2745252247458312,0.0036191344758907808
Pecam1,0.7779820011163301,0.3777299019439422,0.4002520991723879,1.0423798181096495,0.025715399656440062
Nfkbia,1.1795939901941381,0.7798348241358343,0.39975916605830386,0.5970492643537015,0.0988124887029916
Cox6a1,0.689403712679424,0.30065936848302455,0.38874434419639947,1.1972164490722865,0.014607345539588243
Cd81,0.6190794453540295,0.23124169311417028,0.38783775223985917,1.4207191105935022,0.06144308386173802
Cox6b1,0.6061545616603479,0.2235308117533675,0.38262374990698034,1.4392079274402048,0.004980608165442609
Esd,0.4316823646062743,0.0571785749579328,0.3745037896483415,2.9164016971227635,0.0015867819267654812
Tuba1a,0.5840148668811722,0.21018703465753574,0.37382783222363647,1.474327022056612,0.008013950706160788
Cox7a2,0.6172536069074427,0.244439877521631,0.3728137293858117,1.3363801337299415,0.0008706072871411201
Sem1,0.618361074106728,0.24983908790813603,0.368521986198592,1.3074468553183216,0.0037339400400759172
Ldha,0.5776510605591133,0.20992864666376743,0.3677224138953459,1.4602948489899226,0.006554224593401272
Eif1,0.8473547355412653,0.4852196590140423,0.362135076527223,0.8043267899521723,0.0356824784176909
Srgn,0.8678972926978881,0.5065919901872459,0.3613053025106422,0.7766988715937213,0.07109435414710506
Eng,0.5889865697836992,0.22915835167010837,0.3598282181135909,1.3618860259310779,0.020718906567587927
Rab11a,0.5710843177826328,0.212751894239713,0.35833242354291983,1.4245275362325138,0.004830983562767517
Tagln2,0.5371331461028115,0.19089889265405421,0.34623425344875725,1.4924661463430582,0.032295763613653834
Ramp2,0.9027030273097358,0.5583424572567377,0.34436057005299814,0.6931001948008313,0.20943445717901807
Cfl1,0.5733710971004047,0.2334589684260654,0.3399121286743393,1.2962965071409094,0.05283574942752187
Sec61b,0.4518758957594283,0.1123291984483477,0.3395466973110806,2.0081839657648906,0.0005388728051275293
Id1,0.8265148206670908,0.4885826329497784,0.3379321877173124,0.7584368993682435,0.05462934779567917
Eef1b2,0.5028691409950189,0.16561841210149694,0.3372507288935219,1.6023141130848524,0.04212608819468201
Hint1,0.49386177882303794,0.15887637132560398,0.334985407497434,1.6361965822226456,0.001401772469239558
Npm1,0.44722654197332956,0.11654017533303335,0.3306863666402962,1.9401692719258505,0.03072246951055785
Eef1g,0.4252540926501195,0.10540381339308592,0.3198502792570336,2.0123877627381903,0.029466903578786004
Slc2a1,0.9418845942729277,0.6223895452721188,0.31949504900080894,0.5977316896232309,0.2074020349607716
Dynll1,0.6637857244761688,0.34566849622716117,0.3181172282490076,0.9413264783701212,0.029320646404356623
Adamts1,0.5061633860187803,0.18995174005521576,0.31621164596356455,1.4139654793397758,0.0112574578537415
Sh3bgrl3,0.5400689288126814,0.2249301960996097,0.3151387327130717,1.2636624561340188,0.015910549238934507
Ackr1,0.3675371177773902,0.05241166014398477,0.3151254576334054,2.809906642912038,0.006772171457171647
Pfn1,0.44835772323134776,0.13399988418356013,0.31435783904778763,1.742410946860553,0.035009256190064814
H3f3b,0.7789320016884476,0.467839908648556,0.31109209303989155,0.7354812247599136,0.013605502359278331
Uqcrq,0.46209316324661787,0.1514322672708124,0.3106608959758055,1.6095046915070954,0.00037967814155606753
Sat1,0.43136580649351214,0.12080417834377123,0.3105616281497409,1.8362328684848677,0.004330156552885638
Atp5b,0.4519541892816399,0.14150755780012567,0.3104466314815142,1.675290435163887,0.014713468029665786
Scgb3a1,0.38626581199427595,0.07803125343673901,0.30823455855753695,2.3074552584236314,0.0031374697582405376
Fau,0.6685509308066153,0.36063277954135037,0.30791815126526495,0.8905050919984928,0.11732604084301823
Cnbp,0.5777971642073128,0.27071827789798797,0.3070788863093248,1.093767994739634,0.011705235720254965
Cox7b,0.4299120573032375,0.12506853735686838,0.30484351994636916,1.7813144871311353,0.006925615433614733
Slc25a5,0.46192128453284376,0.15963413250234026,0.3022871520305035,1.5328719530028054,0.013146330760222277
Psmb1,0.5031362877181981,0.20105334603271033,0.30208294168548777,1.3233665902555771,0.014080419301531555
Atp5j,0.6589997035339382,0.35698474632003413,0.3020149572139041,0.8844135337557304,0.026638337302626817
Atp5h,0.4823286850294304,0.18667335417593414,0.29565533085349627,1.3694958637862917,0.00653796838544682
Cox5a,0.41543170906635923,0.12428784157894289,0.29114386748741633,1.7409180314250092,0.0011276950155671827
Tspo,0.4665579394231653,0.17584248425942836,0.290715455163737,1.407767467226801,0.0018139896524710076
Oaz1,0.4978449518938578,0.2081807408192312,0.2896642110746266,1.25785586083059,0.03476691435512507
Krtcap2,0.4091378250695592,0.11967317630241307,0.2894646487671461,1.7734785714462729,0.00023666267663930292
Banf1,0.37309898778585693,0.0862853516391844,0.28681363614667255,2.11235802893742,0.009843721538703127
Cox7c,0.47189068389631117,0.18664140359623763,0.28524928030007357,1.338178955517052,0.018576763125615788
Uqcc2,0.4249936740319005,0.14057146505665918,0.28442220897524134,1.5961307307377386,0.0005991251629445619
Dbi,0.4154799509261246,0.13140160185559252,0.2840783490705321,1.660788491243224,0.0008950507220349962
Atp5j2,0.4550418123037274,0.1735002294966207,0.2815415828071067,1.391056400060856,0.00584272641603247
Sept7,0.5323398623084166,0.2518827934703287,0.28045706883808785,1.0795920111178803,0.014655986167412807
Naca,0.48085423091453144,0.20087132974029134,0.2799829011742401,1.2593237673426572,0.0342964003190114
Eef2,0.43998121010029706,0.16094105514129398,0.2790401549590031,1.4509038317723404,0.007767128614189229
Rrbp1,0.3956569612956802,0.12091256959392586,0.2747443917017543,1.7102776259958177,0.03160988324330443
Hnrnpa3,0.40512540669836034,0.13217948445289698,0.2729459222454633,1.6158629364589745,0.05176605661750146
Taldo1,0.35496366722050887,0.08381794840273664,0.2711457188177722,2.0823271009782696,0.0036646256987059945
Serpinh1,0.33970936713359506,0.07230932610386193,0.26740004102973314,2.232031658801148,0.03282867106645321
Elob,0.4550220791098802,0.18831291036439737,0.2667091687454828,1.272800148907497,0.002883009754381897
Minos1,0.3961082222101543,0.13204239044058164,0.26406583176957266,1.5848862026232413,0.008269913311802338
S100a6,0.3033144585013511,0.03933505932928703,0.26397939917206403,2.946894685571525,0.0008101452462489146
Selenof,0.37091383884140894,0.10767403262195861,0.2632398062194503,1.7844042248717418,0.011738427088912444
Pkm,0.395614747242446,0.13259601615416972,0.2630187310882763,1.5770515421480318,0.0049190285345166096
Hnrnpu,0.48033491102627585,0.21777811371781197,0.2625567973084639,1.1411780739797286,0.14584698584819425
Ehd4,0.3501985961405268,0.08798077185893592,0.26221782428159085,1.9929008590273858,0.007918733604452548
Gng11,0.5977853251400885,0.33754917371590715,0.2602361514241814,0.8245279331467233,0.007786922289375798
Ddx5,0.828372858854858,0.5691944913945872,0.2591783674602708,0.5413577925837494,0.17551268335087042
Tubb5,0.3466235675013613,0.09014746344939058,0.25647610405197074,1.9429991044299983,0.007998875907136365
Itm2a,1.9077386580552531,1.6515060163950845,0.25623264166016857,0.20808120679587427,0.6416261728399298
S100a16,0.43493989078033807,0.18008700904162087,0.25485288173871723,1.2721172253218538,0.006859770722261343
Cd34,0.5002114512612531,0.24748138394567842,0.2527300673155747,1.015215133144105,0.038316975175828855
Atp5mpl,0.3698340387836097,0.11746860489275729,0.2523654338908524,1.6545944049186727,0.0017593030255988655
Pfdn5,0.47094294889105737,0.22059444418664756,0.25034850470440984,1.0941523662514496,0.0027497197011079615
